Character,Type,Content
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,Original Story by
Narration,Narrative,John Lasseter
Narration,Narrative,Pete Docter
Narration,Narrative,Andrew Stanton
Narration,Narrative,Joe Ranft
Narration,Narrative,
Narration,Narrative,Screenplay by
Narration,Narrative,Joss Whedon
Narration,Narrative,Andrew Stanton
Narration,Narrative,Joel Cohen and Alec Sokolow
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,November 1995
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,
FADE IN,Dialogue,
Narration,Narrative,
Narration,Narrative,A row of moving boxes lie on the floor of the room.  They
Narration,Narrative,are drawn up in crayon to look like a miniature Western town.
Narration,Narrative,The bedroom is lined with cloud wallpaper giving the
Narration,Narrative,impression of sky.
Narration,Narrative,
Narration,Narrative,"One of the boxes has a children's illustrated ""WANTED"""
Narration,Narrative,poster of a Mr. Potato Head taped to it.
Narration,Narrative,
Narration,Narrative,A MR. POTATO HEAD DOLL is set in front of the poster.  The
Narration,Narrative,"VOICE OVER of ANDY, a 6-year-old boy, can be heard acting"
Narration,Narrative,out all the voices of the scene.
Narration,Narrative,
Narration,Narrative,"Alright everyone, this is a stick-"
Narration,Narrative,up!  Don't anybody move!  Now empty
Narration,Narrative,that safe!
Narration,Narrative,
Narration,Narrative,A GROUP OF TOYS have been crowded together in front of the
Narration,Narrative,"""BANK"" box."
Narration,Narrative,
Narration,Narrative,Andy's hand lowers a CERAMIC PIGGY BANK in front of Mr.
Narration,Narrative,Potato Head and shakes out a pile of coins to the floor.  Mr.
Narration,Narrative,Potato Head kisses the coins.
Narration,Narrative,
Narration,Narrative,Ooh!  Money.  Money.  Money.
Narration,Narrative,(kissing noises)
Narration,Narrative,
Narration,Narrative,
Narration,Narrative,"A porcelain figurine of the shepherdess, BO PEEP, is brought"
Narration,Narrative,into the scene.
Narration,Narrative,
Narration,Narrative,"Stop it!  Stop it, you mean old"
Narration,Narrative,potato!
Narration,Narrative,
Narration,Narrative,"Quiet Bo Peep, or your sheep get"
Narration,Narrative,run over!
Narration,Narrative,
Narration,Narrative,The companion porcelain sheep are placed in the center of a
Narration,Narrative,Hot Wheels track loop.
Narration,Narrative,
Narration,Narrative,Heeeeelp!  BAAAAA!  Heeeelp us!
Narration,Narrative,
Narration,Narrative,"Oh, no!  Not my sheep!  Somebody do"
Narration,Narrative,something!
Narration,Narrative,
Narration,Narrative,"WOODY, a pull-string doll cowboy, enters into the scene"
Narration,Narrative,opposite the inanimate spud.
Narration,Narrative,
